Name,Actor 1,Cluster,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Year,Year,Votes,Votes,Duration,Duration,Dir_enc,A1_enc,A2_enc,A3_enc,G_mean_rat
1978: A Teen Night Out,Abuzar Akhtar,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,2019,20,20,107,107,4.0,4.0,4.0,4.0,5.620495867768595
1982 - A Love Marriage,Amitkumar Sharma,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017,106,106,113,113,5.5,5.5,5.5,5.5,5.7518796992481205
2 Nights in Soul Valley,Hemant Pandey,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2012,2012,21,21,80,80,5.898232868643235,5.898232868643235,5.898232868643235,5.898232868643235,5.524890543323678
2 October,Ashutosh Rana,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2003,2003,33,33,122,122,5.0,5.8,5.0,3.85,5.662154860963301
2 States,Arjun Kapoor,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,2014,24034,24034,149,149,5.25,5.9399999999999995,5.6000000000000005,5.3133333333333335,5.868479827524617
2.0,Rajinikanth,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,2018,21938,21938,148,148,6.85,6.0625,5.596875,5.550000000000001,5.360607123124654
2001: Do Hazaar Ek,Jackie Shroff,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1998,1998,112,112,149,149,5.161538461538461,5.16,5.504166666666666,6.084615384615384,5.791793976970332
2016 the End,Divyendu Sharma,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017,94,94,130,130,5.949999999999999,6.25,6.1,6.1,5.7518796992481205
22 Days,Rahul Dev,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,2018,8,8,124,124,6.1,6.175,6.1,6.1,5.620495867768595
22 June 1897,Nachiket Patwardhan,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1979,1979,52,52,121,121,7.7,7.7,5.4375,7.7,6.470498678007534
22 Yards,Barun Sobti,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,2019,361,361,126,126,6.1,7.0,6.1,6.557142857142857,6.443243243243243
23rd March 1931: Shaheed,Bobby Deol,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2002,2002,642,642,188,188,4.741666666666666,4.8125,5.214285714285714,5.3133333333333335,6.5489599029854135
27 Down,Sudhir Dalvi,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,1974,194,194,115,115,6.9,6.95,5.984210526315789,6.9,6.055890973036343
3 AM: A Paranormal Experience,Salil Acharya,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,2014,514,514,103,103,5.0,5.0,4.9,5.0,5.293720768781059
