Genre,MeanRating
Action,5.520035671819263
Adventure,5.87942238267148
Animation,6.0725
Biography,6.760526315789474
Comedy,5.750149031296572
Crime,5.819495412844037
Documentary,7.625581395348837
Drama,6.05368950013224
Family,6.320531400966183
Fantasy,5.808219178082192
History,6.880612244897959
Horror,4.818905472636816
Music,6.071698113207548
Musical,6.248418491484185
Mystery,5.856146179401994
News,8.0
Romance,5.807709090909091
Sci-Fi,5.253125
Sport,6.515000000000001
Thriller,5.625739644970414
War,5.981818181818182
Western,5.7
