Director,MeanRating
Anthony Maras,7.599999999999999
Anu Menon,6.459999999999999
Anubhav Sinha,5.433333333333334
Anup Das,4.4
Anup Kurian,6.033333333333334
Anup Samaddar,6.1
Anup Singh,5.9
Anupam Kher,5.5
Anupam Sinha,5.1
Anurag Basu,6.4071428571428575
Anurag Jha,5.550000000000001
Anurag Kashyap,7.465714285714286
Anurag Kawatra,8.5
Anurag Singh,5.4
Anusha Rizvi,7.4
Anvita Dutt,6.599999999999999
Anwer Khan,3.725
Aparna Sen,6.9624999999999995
Aparnaa Singh,6.3
Apoorva Lakhia,4.4399999999999995
Apurba Kishore Bir,5.933333333333334
Apurv Bajpai,4.4
Apurva Asrani,3.2999999999999994
Apurva Dhar Badgaiyann,7.0
Arati Kadav,5.7
Aravind Sen,6.025
Arbaaz Khan,4.8
Ardeshir Irani,6.2
Arif Ali,4.9
Arindam Mitra,6.8
Arindam Nandy,5.400000000000001
Arjun Bali,5.5
Arjun Hingorani,5.4399999999999995
Arjun Mukerjee,6.9
Arjun Sablok,4.1000000000000005
Arjun Sajnani,4.6
Arjun Sarja,4.3
Arka Ganguly,6.8
Arnab Chaudhuri,6.8
Aron Govil,5.8
Arshad Khan,4.8999999999999995
Arshad Siddiqui,7.3
Arun Bhatt,6.04
Arun Dutt,5.8
Arun Kaul,7.0
Arun Khopkar,6.2
Arun Kumar Rapolu,6.5
Aruna Raje,4.257142857142857
Arup Dutta,4.7
Arvind Pratap,9.4
Aryan Neeraaj Anand,9.0
Aryeman Ramsay,3.6
Asad Shan,5.2
Ashfaq Makrani,4.0
Ashim Ahluwalia,6.400000000000001
Ashim S. Samanta,5.4071428571428575
Ashima Chibber,6.400000000000001
Ashish Aryan,6.3
Ashish Deo,7.4
Ashish R. Mohan,4.3
Ashish R. Shukla,6.449999999999999
Ashok Ahuja,6.4
Ashok Chattopadhyay,6.4
Ashok G.,3.8
Ashok Gaekwad,4.878947368421053
Ashok Ghai,3.5
Ashok Honda,4.5200000000000005
Ashok Kaul,6.25
Ashok Kohli,2.9
Ashok Kumar,4.6
Ashok Mehta,5.55
Ashok Nanda,5.071428571428571
Ashok Roy,5.828571428571428
Ashok Tyagi,5.32
Ashok V. Bhushan,6.5
Ashok Yadav,5.7
Ashtar Sayed,5.45
Ashu Trikha,4.361538461538461
Ashutosh Gowariker,6.148
Ashvin Kumar,5.45
Ashwani Dhir,5.066666666666666
Ashwin Shetty,7.1
Ashwini Chaudhary,4.533333333333333
Ashwiny Iyer Tiwari,7.533333333333334
Asif Kapadia,6.7
Asit Kumar Sen,7.5
Asit Sen,7.125
Aslam Azmi,2.6
Aspi Irani,6.185714285714285
Asrani,5.590909090909091
Atanu Mukherjee,6.4
Atish Tripathi,7.7
Atlanta Nagendra,5.2
Atma Ram,5.665
Atul Agnihotri,3.85
Atul Sabharwal,6.1499999999999995
Atul Sriva,5.7
Avinash Das,5.433333333333334
Avinash Dhyani,5.3
Avinash Kumar Singh,6.6
Avinash Walzade,8.3
Avtar Bhogal,6.2
Awtar Krishna Kaul,6.9
Ayan Mukherjee,7.349999999999999
Ayush Raina,4.2
Azad Jain,6.8
Azhar Hussain,4.6
Aziz Khan,6.6
Aziz Mirza,6.3
Aziz Naser,6.05
Aziz Sejawal,4.863636363636363
Aziz Zee,4.0
B. Gupta,4.5
B. Krishna Rao,3.8
B. Padmanabham,6.466666666666666
B. Prasad,6.550000000000001
B. Ramakrishnaiah Panthulu,7.0
B. Trilochan,7.6
B. Vittalacharya,6.6
B.H. Tharun Kumar,3.96
B.K. Adarsh,4.9
B.R. Chopra,7.052941176470589
B.R. Ishara,5.62
B.S. Glaad,6.599999999999999
B.S. Thapa,5.0
Baba Azmi,6.7
Babbar Subhash,5.251851851851852
Babloo Seshadri,6.7
Baboobhai Bhanji,3.8
Babu Yogeswaran,3.1
Babubhai Mistry,6.535555555555556
Baby,4.6
Balasekaran,4.6
Balbir Wadhawan,6.7
Balmukund Tripathi,8.3
Balraj Tah,7.0
Balu Mahendra,8.4
Balvinder Sandhu,5.2
Banty Dubey,8.1
Bappaditya Bandopadhyay,5.45
Bappaditya Roy,7.2
Bapu,6.621052631578947
Basu Bhattacharya,7.177777777777779
Basu Chatterjee,6.8
Bat for Lashes,5.4
Batra Mohinder,6.2
Batul Mukhtiar,8.2
Bauddhayan Mukherji,6.9
Bedabrata Pain,7.3
Behzad Khambata,6.2
Bejoy Nambiar,6.954545454545454
Bela Negi,6.3
Bela Segal,4.2
Bhabendra Nath Saikia,7.2
Bhagwati Prasad Mishra,5.3
Bhagyaraj,6.44
Bhalji Pendharkar,7.866666666666667
Bhanu Pratap Singh,5.400000000000001
Bhappi Sonie,6.584
Bharat Jain,4.2
Bharat Kapoor,3.6500000000000004
Bharat Rangachary,5.3999999999999995
Bharathan,7.7
Bharathiraja,6.5125
Bhaskar Shetty,6.6
Bhavik Thakore,6.4
Bhavin Wadia,6.4
Bhavna Talwar,7.7
Bhimsain,6.9
Bhooshan Lal,3.8
Bhupender Gupta,3.2999999999999994
Bhushan Patel,3.9285714285714284
Bibhuti Mitra,6.35
Biju Bhaskar Nair,4.0
Bijukumar Damodaran,6.566666666666666
Bikas Ranjan Mishra,6.5
Bikramjeet Bhullar,5.2
Bimal Roy,7.430769230769231
Binod Pradhan,3.8
Binu Bhaskar,6.900000000000001
Bipin Nadkarni,7.5
Biplab Roy Chowdhury,6.1
Biren Nag,6.8999999999999995
Bishnu Dev Halder,6.4
Biswajeet Bora,6.6
Bobby Khan,3.7000000000000006
Bobby Raj,4.74
Boopathy Pandian,3.8
Bornila Chatterjee,7.2
Brahmanand S. Singh,8.233333333333333
Brij,6.857142857142857
Brijesh Batuknath Tripathi,2.8
Bruce Parry,7.4
Buddhadev Dasgupta,5.971428571428572
Bugs Bhargava Krishna,7.333333333333333
Bumpy,5.46
Bunty Soorma,4.8
C. Jenner Jose,6.2
C.H. Balaji Singh Babu,5.599999999999999
C.L. Rawal,6.3
C.M. Jain,3.9
C.P. Dixit,6.5375
C.V. Sasikumar,6.9
C.V. Sridhar,6.546666666666667
Chaitanya Tamhane,7.7
Chakri Toleti,2.55
Chand,5.1571428571428575
Chandan Arora,7.050000000000001
Chander H. Bahl,5.766666666666667
Chander Mishra,4.1
Chander Vohra,5.857142857142857
Chandersen Singh,4.8
Chandni Gupta,4.3
Chandra Barot,7.2
Chandra Prakash Dwivedi,7.0
Chandra Sekhar Yeleti,6.6
Chandrakant,6.2333333333333325
Chandrakant Kanse,6.2
Chandrakant Singh,3.9583333333333335
Chandrasekhar Reddy,7.0
Chandulal Shah,7.6
Chapour Haghighat,5.4
Charudutt Acharya,5.3
Chawla,7.1
Chella,3.0
Cherag Ruparel,8.0
Chetan Anand,7.011111111111112
Chetan Desai,5.900000000000001
Chinni Prakash,5.400000000000001
Chitraarth,8.1
Chittaranjan Tripathy,4.0
Chuck Russell,5.599999999999999
Csaba Bene Perlenberg,5.5
D. Rajendra Babu,6.271428571428571
D. Rama Naidu,4.8
D. Sumana Kittur,7.4
D.D. Kashyap,6.7125
D.N. Pai,6.5
D.S. Azad,4.125
Dada Kondke,6.8
Dada Mirasi,5.8
Dakxin Bajrange,5.4
Daniel Kremer,6.4
Danis Tanovic,7.3
Danish Aslam,5.2
Danish Raza,5.4
Danny Denzongpa,6.599999999999999
Dar Gai,7.0
Dara Singh,6.88
Darshan Sabharwal,5.599999999999999
Dasaradh,7.1
David Dhawan,5.275728155339806
Dayal Nihalani,4.425
Dayal Padmanabhan,8.4
Dayanand,5.7
Deb Medhekar,7.6
Deb Mukherjee,6.2
Debaki Bose,6.966666666666666
Debaloy Dey,3.575
Debarati Gupta,6.9
Debu Sen,7.2
Dedipya Joshii,7.35
Deekshit Kaul,4.6
Deepa Mehta,6.911111111111111
Deepa Sahi,5.3
Deepak Anand,5.574999999999999
Deepak Bahry,4.503448275862069
Deepak Baldev,7.8
Deepak Balraj Vij,5.423529411764706
Deepak Mahajan,7.900000000000001
Deepak Pawar,3.925
Deepak Ramsay,4.4
Deepak Ramteke,5.2
Deepak S. Shivdasani,4.031818181818182
Deepak Sareen,5.0625
Deepak Tanwar,4.0
Deepak Tijori,4.433333333333334
Deepshikha Nagpal,4.7
Deepti Kakkar,7.8
Desh Deepak,6.1
Desh Gautam,6.3
Desh Mukherjee,5.7
Dev Anand,5.456521739130435
Dev Benegal,6.68
Deva Katta,5.9
Devang Dholakia,2.5
Devanshu Singh,7.8
Devashish Makhija,6.925000000000001
Deven Bhojani,5.3
Deven Verma,5.416666666666667
Devendra Bhagat,7.4
Devendra Goel,6.64
Devesh Pratap Singh,4.8
Devi Sharma,5.8
Devika Bhagat,4.2
Dharam,4.7
Dharam Kumar,6.2
Dharam Prakash,4.2
Dharan Mandrayar,6.8
Dharani,7.0
Dharmendra Suresh Desai,5.9
Dharmesh Darshan,4.7444444444444445
Dharmesh Tiwari,6.8
Dhavala Satyam,6.6
Dheeraj Kumar,2.4
Dheeraj Pandit,3.7
Dhiraj Kumar,5.4
Dhirendra Bohra,5.8
Dhirubhai Desai,5.175
Dhorairaj Bhagavan,8.05
Dhruv,3.9
Dhruv Sachdev,8.0
Dhwanil Mehta,6.2
Diane Cheklich,6.3
Dibakar Banerjee,7.383333333333334
Digvijay Singh,7.0
Dilip Chitre,7.1
Dilip Ghosh,6.2
Dilip Gulati,5.233333333333333
Dilip Kumar,7.7
Dilip Mehta,5.4
Dilip Naik,5.5200000000000005
Dilip Shankar,5.2
Dilip Shukla,5.220000000000001
Dilip Sood,4.6
Dinesh D. Awasthi,3.9
Dinesh P. Bhonsle,4.5
Dinesh Parihar,7.5
Dinesh Vijan,5.1
Dinesh-Ramanesh,6.3
Dinkar Kapur,3.7999999999999994
Dinkar Rao,7.5
Dipankar Senapati,2.7
Dipanshu Dang,6.7
Dipesh Jain,7.1
Divakar Ghodake,4.3
Divya Khosla Kumar,2.95
Doondi,5.1
Dr. Jay,3.9
Dulal Guha,6.4375
Durai,6.3
Dushyant Pratap Singh,6.8
Dutta Madhusree,6.2
Dwarka Khosla,6.1499999999999995
Dylan Mohan Gray,7.7
E.V.V. Satyanarayana,6.35
Eeshwar Nivas,5.716666666666667
Ejaz Ahmed,4.433333333333334
Ejaz Gulab,5.8
Ekant Babani,4.9
Ektara Collective,8.1
Elan Dassani,4.7
Esmayeel Shroff,5.3999999999999995
Esshan Katara,6.8
Fahim Irshad,6.6
Faisal Kapdi,2.7
Faisal Khan,3.5
Faisal Saif,5.5
Faisal Simon,6.1
Faiza Ahmad Khan,8.0
Fali Mistry,6.7
Farah Khan,5.572727272727272
Faraz Haider,5.7
Faredoon A. Irani,6.3
Fareeda Mehta,6.2
Farhad Samji,3.5
Farhan Akhtar,7.575
Farogh Siddique,5.166666666666667
Faruk Kabir,6.585714285714286
Faruq Masudi,5.9
Fauzia Arshi,3.8
Fazil,6.3
Feroz Abbas Khan,7.0
Feroz Chinoy,5.677777777777778
Feroz Khan,5.531818181818182
Firoz Irani,5.0
Francesca Archibugi,6.3
Frank Gladstone,4.1
Franz Osten,6.211111111111111
Fuwad Khan,6.3
G. Krishna,3.1
G. Rakesh,6.0
G. Suman Reddy,8.0
G. Venugopal,4.6
G.B. Vijay,6.3
G.N. Rangarajan,6.3
G.P. Sippy,6.288888888888889
G.S. Murthy,8.4
G.S. Vijayan,5.3
G.V. Iyer,6.949999999999999
Gagan Puri,4.85
Gaganvihari Borate,6.7
Gajendra Ahire,7.0200000000000005
Gajendra Shanker Shrotriya,5.325
Ganapathy Bharat,6.2
Ganesh Acharya,4.96
Ganesh Mehta,7.9
Ganpati Bohra,4.2
Garth Davis,8.0
Gaurav Bakshi,7.0
Gaurav Mehra,7.5
Gaurav Pandey,2.6
Gaurav Panjwani,7.5
Gauravv K. Chawla,6.599999999999999
Gauri Shinde,7.68
Gautam Joshi,9.3
Gautam Singh,5.3
Gautam Verma,4.25
Gautham Vasudev Menon,6.75
Geethapriya,7.0
Geethu Mohandas,7.1499999999999995
Ghorban Mohammadpour,3.1999999999999997
Giresh Naik,4.6
Girish Dhamija,5.04
Girish Juneja,2.5
Girish Karnad,7.050000000000001
Girish Kasaravalli,7.2
Girish Malik,6.775
Gitanjali Rao,6.0
Glen Barreto,5.1
Goldie Behl,2.85
Gopal B.,5.826666666666667
Gopal Malhotra,4.9
Gopi Desai,6.1
Gopi Puthran,7.400000000000001
Gopi Sapru,4.4
Goran Paskaljevic,7.3
Goutam Ghose,7.040000000000001
Goutam Pawar,2.5
Govind Menon,3.0999999999999996
Govind Mishra,7.2
Govind Moonis,6.28
Govind Nihalani,7.227777777777778
Govind Sakariya,3.7
Govind Saraiya,6.4
Guddu Dhanoa,4.68125
Gul Bahar Singh,7.4
Gulshan Kumar,5.1
Gulzar,7.55
Gunveen Kaur,5.7
Gurdip Singh,5.900000000000001
Gurinder Chadha,6.45
Gurmeet Ram Rahim Singh,6.6499999999999995
Gurmmeet Singh,4.8625
Gurpreet Sondh,4.9
Guru Dutt,7.377777777777778
Gurudev Bhalla,4.6
Gurvinder Singh,7.1
Gyan Correa,6.1
Gyan Mukherjee,6.8
H. Dinesh,5.8
Habib Faisal,6.6
Hadi Abrar,3.65
Hadi ali Abar,3.3
Haidar Ali,6.7
Hameed Alam,4.5
Hamid Ali Khan,4.066666666666667
Hansal Mehta,6.283333333333333
Hanu Raghavapudi,5.900000000000001
Hardik Mehta,5.5
Hari Viswanath,3.7
Hari Walia,6.0
Harinam Singh,4.3
Harish Bhosle,4.4
Harish Kumar,5.5
Harish Raut,6.2
Harish Shah,5.62
Harish Sharma,6.8
Harish Vyas,6.7
Harmage Singh Kalirai,5.599999999999999
Harmesh Malhotra,5.553846153846154
Harnam Singh Rawail,6.675
Harry Baweja,4.617857142857143
Harryy W. Fernaandes,3.9
Harsh Chhaya,5.6
Harshavardhan Kulkarni,7.0
Harsukh Jagneshwar Bhatt,6.4125000000000005
Hasnain Hyderabadwala,4.4399999999999995
Hassan Nazer,5.6
Heena Dsouza,6.6
Hema Malini,3.5
Hemant Birje,5.0
Hemant Gaba,5.6
Hemant Hegde,5.1
Hemant Madhukar,3.6
Hemant N Mishra,8.6
Hemant Nilim Das,6.5
Hemanth Kumar,5.8
Hemen Gupta,7.2
Hemnt Praddeep,8.0
Himanshu Brahmbhatt,5.225
Himanshu Yadav,7.099999999999999
Hiren Nag,6.288888888888889
Hitesh Kewalya,5.8
Homi Adajania,6.325
Homi Wadia,5.65
Honey Irani,5.2
Honey Trehan,7.3
Honeypreet Insan,6.333333333333333
Howard Rosemeyer,4.4
Hriday Shetty,5.35
Hrishikesh Mukherjee,7.313846153846153
Hunsur Krishnamurthy,7.099999999999999
Hussein Khan,6.7
I.A. Siddique,5.7
I.S. Johar,6.53125
I.V. Sasi,6.513333333333334
Imran Khalid,4.4
Imran Khan,4.25
Imtiaz Ali,6.930434782608696
Imtiaz Punjabi,4.6
Inayat Mahshar,4.2
Inder Raj Anand,5.7
Inder Sen,6.7
Indervesh Yogee,6.6
Indra Kumar,5.246153846153846
Indrajit Lankesh,4.25
Indrajit Nattoji,5.0
Indranil Roychowdhury,7.6
Inka Acht�,6.9
Iqbal Baksh,5.9
Iqbal Durrani,5.366666666666666
Irene Zoe Alameda,5.9
Irfan Kamal,7.1
Irfan Khan,3.6
Irshad,6.400000000000001
Irshad Khan,4.8
Ishaan Nair,5.0
Ishaan Trivedi,3.733333333333333
Ismail Darbar,6.1
Ismail Memon,6.5
Ismail Merchant,6.449999999999999
Ismat Chughtai,6.0
Israr Ahmed,3.4
Ivan Ayr,7.0
J. Mahendran,7.0200000000000005
J. Misra,7.8
J. Om Prakash,5.543478260869565
J.D. Chakravarthi,5.18
J.J. Madan,6.0
J.K. Bihari,4.6
J.P. Dutta,6.068
J.S. Randhawa,5.7
Jabbar Patel,6.866666666666667
Jag Mundhra,4.43
Jagan,4.7
Jagan Shakti,6.5
Jagannath Chatterjee,6.3
Jagat Joon,7.05
Jagbir Dahiya,6.6
Jagdeep,5.6
Jagdev Bhambri,6.199999999999999
Jagdish A. Sharma,4.023529411764706
Jagdish Kadar,5.8
Jagdish Nirula,5.0
Jagdish Pandey,3.2000000000000006
Jagdish Rajpurohit,6.0
Jagdish Sidana,6.366666666666667
Jahnu Barua,6.6
Jai Tank,6.2
Jaideep Chopra,5.875
Jaideep Sen,4.2
Jaideep Varma,7.840000000000001
Jaidev Chakraborty,4.8
Jaimin Bal,5.733333333333333
Jain Rakesh,4.6
Jaiveer,3.2
Jalal Agha,5.8
Jambulingam,5.757142857142857
James Dodson,6.2
James Erskine,8.6
James Ivory,6.8
Jan Schmidt-Garre,6.7
Janak Toprani,5.6
Janaki Vishwanathan,3.6
Janmendra Ahuja,3.9
Japinder Kaur Baweja,3.7
Jasbir Bijender Bhati,5.5
Jasmine D'Souza,3.1
Jaspal Bhatti,7.4
Jaspal Singh,3.6
Jaswant Gangani,4.0
Jaswinder Chahal,6.6
Jatla Siddartha,7.400000000000001
Jawar N. Sitaraman,4.9
Jayabrato Chatterjee,5.1
Jayant Desai,7.085714285714286
Jayant Gilatar,5.266666666666667
Jayant Prabhakar,8.3
Jayanta Basu,7.3
