Actor 1,MeanRating
A. Muthu,3.3
A. Nairang,6.1
A.K. Hangal,6.2
A.S. Ravindra Babu,4.8
Aachi Manorama,4.8
Aadar Jain,5.6
Aadhi,6.6
Aadil Abedi,6.7
Aadil Chahal,5.599999999999999
Aahana Kumra,6.8
Aakar Kaushik,6.2
Aakash,3.9
Aalam,6.7
Aamir,4.3
Aamir Bashir,6.25
Aamir Khan,6.867777777777778
Aanchal Dwivedi,6.7
Aaryan,4.8
Aaryan Adhikari,6.8
Aashish Bhatt,6.6
Aashish Chaudhary,5.8
Aashish Kaul,3.6
Aasif Sheikh,4.4
Aatish Devgan,4.425
Aayush Shah,4.4
Aban Raza,5.599999999999999
Abbas,5.2375
Abhay Chaudhary,6.7
Abhay Deol,6.733333333333333
Abhay Singhal,7.599999999999999
Abhi Bhattacharya,7.09375
Abhijeet Singh,6.8
Abhilasha,5.2
Abhimanyu Dasani,7.4
Abhimanyyu Abhimanyu,4.1
Abhishek,6.550000000000001
Abhishek Bachchan,5.202173913043478
Abhishek Bharate,7.4
Abhishek Brahmachari,8.3
Abhishek Chitlangia,6.8
Abhishek Gupta,5.9
Abhishek Kapoor,3.6
Abhiyan Rajhans,5.8
Abinash,8.5
Abuzar Akhtar,4.0
Acchui,5.6
Adam Saini,5.3
Adamya,5.9
Adarsh Gourav,7.1
Addy,4.8
Adhvik Mahajan,4.0
Adhyayan Suman,5.6
Adil Amaan,6.0
Adil Feroz Khan,4.9
Adil Hussain,6.1466666666666665
Aditi,6.9
Aditi Bhagat,5.0
Aditi Bir,5.2
Aditi Rao Hydari,4.4
Aditya,6.2
Aditya Bal,5.3
Aditya Narayan,5.400000000000001
Aditya Pancholi,6.007692307692308
Aditya Rawal,7.2
Aditya Roy Kapoor,6.153846153846154
Aditya Sharma,7.0
Aditya Srivastav,3.2999999999999994
Afrin,3.4
Aftab Shivdasani,4.662068965517241
Afzal Khan,3.5
Agast Anand,3.5
Aghajani,6.3
Ahaan Jha,10.0
Ahana,6.8
Ahmareen Anjum,7.699999999999999
Ahmed Faisal Inam,4.8
Ahsaas Channa,4.6
Aisha Ahmed,6.9
Aishwarya Narkar,4.0
Aishwarya Rai Bachchan,6.1
Aishwarya Rajesh Ash,6.1
Aishwaryaa Rajesh,6.3
Aitana S�nchez-Gij�n,5.9
Ajay,4.4
Ajay Chourey,6.6
Ajay Devgn,5.3691489361702125
Ajay Gautam,7.8
Ajay Gehi,6.1
Ajay Kkhundal,7.8
Ajay Kumar Singh,5.8
Ajaykumar,5.400000000000001
Ajaz Khan,6.8
Ajit,5.881818181818182
Ajit Banerjee,6.6
Ajit Bhalla,6.0
Ajit Sinha,6.0
Ajitesh Bannerjee,7.9
Ajith Kumar,4.699999999999999
Akanksha,6.599999999999999
Akanksha Puri,4.2
Akash,4.6
Akash Sagar Chopra,4.3
Akhil Gautam,7.9
Akhil Kapur,4.0
Akhilesh,5.9
Akkash Basnet,3.5
Akshat Jain,8.4
Akshat Verma,7.599999999999999
Akshay Anand,3.5714285714285716
Akshay Kapoor,3.9
Akshay Kumar,5.440845070422536
Akshay Oberoi,5.8999999999999995
Akshay Waghmare,7.0
Akshaye Khanna,5.984375
Alankar Joshi,5.6
Aleksandr Zguridi,6.85
Aleksey Fedorchenko,5.5
Ali,5.225
Ali Asgar,2.8
Ali Fazal,5.0
Ali Zafar,5.7375
Alia Bhatt,6.34
Alia Khan Dar,5.4
Alieesa P Badresia,5.2
Alisha Farrer,8.2
Alka,6.4
Alka Amin,4.8
Alka Anjali,4.6
Allu Arjun,6.2
Alma S. Grey,5.0
Alok Chaturvedi,7.1
Alok Rajwade,7.8
Alpana,4.1
Aman Ullah,6.3
Aman Verma,2.4
Amanda Ooms,5.5
Amar Dutta,8.2
Amar Upadhyay,2.4
Amarasigamani,2.7
Amarjeet,4.7
Ambika,3.2999999999999994
Ambika Kamal,6.2
Ameesha Patel,3.0
Ameeta,5.5
Ami Arora,6.6
Amin Gazi,2.7
Amit,2.7000000000000006
Amit Bhardwaj,8.1
Amit Bhaskar,5.2
Amit Kapoor,3.1
Amit Pachori,3.9333333333333336
Amit Sadh,6.588888888888889
Amit Suryavanshi,3.6
Amita Pathak,3.4
Amitabh Bachchan,6.148872180451128
Amitkumar Sharma,5.5
Amitoj Mann,6.2
Amiya Chakrabarty,6.9
Amjad Khan,5.3
Ammara Ali,4.9
Amol Palekar,7.040909090909091
Amole Gupte,8.4
Amrish Puri,6.6
Amrit Raj Gupta,7.2
Amrita Acharya,4.9
Amrita Arora,4.4
Amrityan,6.4
Amy Maghera,6.599999999999999
Amyra Dastur,5.8
Amyth Sethi,4.2
Anamitra Roy,6.1
Anand,4.5
Anand Balraj,5.014285714285714
Anand Gandhi,8.3
Anand Sami,6.7
Anand Tiwari,5.7
Anang Desai,7.2
Anant Nag,7.2
Anay,3.2
Angeilla Dobson,4.7
Aniket Vishwasrao,6.2
Anil Chahar,8.6
Anil Charanjeett,7.5
Anil Chatterjee,6.3999999999999995
Anil Devgan,4.0
Anil Dhawan,5.9625
Anil Kapoor,5.667692307692307
Anil Nagrath,5.2
Anil Pandey,7.6
Anil v Kumar,4.2
Anisa Butt,5.1
Anita,4.3
Anita Guha,6.44
Anita Kanwar,7.025
Anitav Bachchan,6.5
Anjali Patil,6.7
Anjori Alagh,7.2
Anju Bawra,8.6
Ankit Desai,7.0
Ankur,6.3
Ankur Tewari,6.3
Ankur Vikal,5.0
Ankush Chaudhari,6.2
Anmol,5.0
Anmol Dhillon,4.5
Anmol Goswami,6.5
Annapoorna,5.0
Annu Kapoor,3.625
Anshu,6.3
Anshuman Jha,4.566666666666666
Anubhav Dixit,7.5
Anuj Jain,6.0
Anuj Sachdeva,4.4
Anuj Saxena,4.9
Anuj Tyagi,7.9
Anup Das,5.400000000000001
Anupam Bhattacharya,6.0
Anupam Kher,6.134375
Anuraag,5.5
Anuradha Hasan,7.0
Anurag Jha,5.7
Anurag Kashyap,3.7
Anurita Jha,6.2
Anushka Sharma,6.663636363636363
Anushka Shetty,3.9
Apache Indian,5.1
Aparajita,5.285714285714286
Aparna,4.6
Aparshakti Khurana,6.3
Apoorva Arora,7.3
Aps Raghuvanshi,6.7
Arathi,7.099999999999999
Aravind Akash,7.3
Aravind Sen,6.9
Arbaaz Khan,3.44
Arif Zakaria,7.533333333333334
Arjan Bajwa,6.4
Arjun,5.816666666666666
Arjun Chakrabarty,8.7
Arjun Chakraborty,6.9
Arjun Hingorani,6.400000000000001
Arjun Kapoor,5.616666666666666
Arjun Manhas,6.9
Arjun Mathur,6.575
Arjun Radhakrishnan,7.2
Arjun Rampal,5.269767441860465
Armaan Jain,4.9
Arman Kohli,4.66
Armen Grayg,4.2
Arsh Bajwa,6.6
Arshad Khan,4.4
Arshad Warsi,5.071875
Arti Rautela,6.4
Arun Bakshi,4.9
Arun Govil,5.85
Arun Mathur,4.3
Aruna Irani,6.233333333333333
Aruna Raje,6.8
Arunoday Singh,6.5
Arvind,7.5
Arvind Gadgil,5.7
Arvind Kasera,3.6
Arvind Singh Rajpoot,5.6
Arvind Swamy,4.942857142857143
Arvinder Bhatti,5.1
Arya,4.75
Arya Babbar,3.8
Arya Dave,7.4
Aryan Neeraaj Anand,4.5
Aryan Vaid,4.9
Asad Shan,5.2
Aseem Ali Khan,3.9
Asha Bhosle,6.7
Asha Devi,8.2
Asha Parekh,6.780645161290322
Asha Sachdev,7.2
Ashima Bhalla,3.7000000000000006
Ashish Bisht,4.3
Ashmit Patel,3.5
Ashok Chaudhary,7.6
Ashok Kumar,6.52970297029703
Ashrita Agarwal,4.5
Ashutosh Gowariker,7.8
Ashutosh Rana,5.771428571428571
Ashwath Bhatt,8.1
Ashwin Dhar,5.9
Ashwini Bhave,5.3
Asif Basra,7.85
Aspar Husain,6.9
Asrani,5.133333333333333
Atif Jamil,3.5
Atif Rashid,7.7
Atma,8.1
Attin Bhalla,4.4
Atul Agnihotri,4.1
Atul Hanwat,7.0
Atul Kulkarni,5.766666666666667
Atul Srivastava,5.1
Augustine,4.0
Auroshika Dey,2.7
Ava Mukherjee,6.2
Avalokita Dutt,6.6
Avantika Akerkar,6.5
Avii,5.9
Avijit Dutt,2.5
Avinash Arun,7.0
Avinash Dhyani,5.14
Avinash Tiwary,7.8
Avinash Wadhawan,4.4
Ayaan Ahmad,3.6
Ayaz Ahmed,5.8
Aydah El-Kashef,8.1
Ayesha Jhulka,4.2
Ayesha Takia,6.85
Ayub Khan,4.85
Ayushmann Khurrana,6.996774193548387
Azaad Irani,3.8
Aziz Naser,6.4
B.K.S. Iyengar,6.7
Baba Sehgal,4.3
Babu Antony,3.4
Baby Rani,6.7
Balakrishnan Thevar,2.4
Baldev Khosa,6.8
Balraj Sahni,7.052380952380952
Bandana Basnett,7.9
Barkha Madan,6.3
Barun Sobti,6.675
Basant Josalkar,7.2
Beena Banerjee,5.325
Beena Bannerjee,6.4
Begum Para,7.5
Ben Kingsley,8.0
Benaf Dadachandji,7.9
Benny John,9.0
Bhagyashree,3.7399999999999998
Bhalchandra Shukla,6.2
Bhankheri Devi,7.1
Bhanu,4.5
Bhanu Pratap Singh,6.0
Bhanupriya,4.1
Bharat Balani,6.2
Bharat Bhushan,6.409523809523809
Bharat Chawla,8.8
Bharat Gopy,6.7
Bharath Srinivasan,2.8
Bharti Achrekar,5.1
Bhaskar Shetty,5.0
Bhaskarabatla Usha,5.7
Bhavana,4.6
Bhavana Singh Chauhan,5.7
Bhavesh Kumar,6.8
Bhavna Mali,6.0
Bhisham Sahni,7.1
Bhole Baba,7.3
Bhumi Pednekar,3.8
Bibbo,8.5
Bidita Bag,6.540000000000001
Bijay Anand,4.866666666666666
Bijoy Dey,7.5
Bimla Kumari,7.2
Bina Rai,6.800000000000001
Binayak Das,5.2
Bindu,5.4875
Bindu Shukla,2.7
Bipasha,3.4
Bipasha Basu,4.042105263157895
Bipin Gupta,2.8
Birbal,5.3
Birendra Nath Tiwari,3.7000000000000006
Biswajit Chatterjee,6.3999999999999995
Bob Christo,4.5
Bobby Darling,9.2
Bobby Deol,4.793617021276596
Bobby Khan,3.8249999999999997
Boman Irani,3.925
Bonnie Juneja,5.9
Brahm Bhardwaj,5.2
Bryan Cranston,6.8
BuAli Shah,6.2
C.S. Aasie,3.3
Cecilia,7.9
Chaitanya Bhosle,4.6
Chamkara,6.6
Chand Mehta,5.2
