Actor 2,MeanRating
A.H. Shore,6.2
A.K. Hangal,7.65
Aachi Manorama,6.1
Aadil Khan,3.7999999999999994
Aahana Kumra,5.9
Aakash Dahiya,7.2
Aakash Kumar Sehdev,6.8
Aamir Bashir,8.8
Aamir Dalvi,3.1
Aamir Khan,6.449999999999999
Aamna Sharif,5.1
Aarav Mavi,8.6
Aarthi Agarwal,6.5
Aarti Chhabria,5.028571428571429
Aarushi Vedikha,6.5
Aarya Adhav,8.3
Aashi Rawal,6.400000000000001
Aashish Chanana,6.2
Aashish Chaudhary,3.88
Aatish Devgan,2.9
Aayush Sharma,3.0
Aayush Thakur,3.1
Abdul Rehman Sheikh,4.2
Abha Dhulia,5.9
Abha Parmar,7.5
Abha Paul,6.5
Abhay Bhargava,5.616666666666667
Abhay Deol,6.363636363636363
Abhay Joshi,7.7
Abhi Bhattacharya,5.0
Abhilash Chaudhary,4.4
Abhinav Goyal,7.5
Abhinay Banker,8.1
Abhinayasri,4.3
Abhishek Bachchan,6.186842105263158
Abhishek Gupta,3.4
Abhishek Maharshi,5.9
Abhro Banerjee,5.3
Abigail Eames,6.2
Abir Chatterjee,6.9
Abishek Anand,4.2
Adah Sharma,5.7
Adesh Prasad,8.3
Adhvik Mahajan,6.2
Adhyayan Suman,4.75
Adi Chugh,6.1
Adil Hussain,6.449999999999999
Aditi Bhaskar,6.0
Aditi Govitrikar,2.4
Aditi Inamdar,7.8
Aditi Rao Hydari,5.1000000000000005
Aditi Sharma,5.1
Aditi Sudhir Pohankar,6.8
Aditya Om,5.3
Aditya Pancholi,5.18235294117647
Aditya Seal,3.0
Aditya Srivastav,7.866666666666667
Aditya pratap singh Raghuvanshi,6.7
Adnan Sajid Khan,6.8
Adoor Bhasi,6.400000000000001
Adrianne Palicki,6.0
Adrien Brody,7.2
Afsheen Jamal,6.1
Aftab Shivdasani,4.66
Aga Jaan,7.6
Agha,5.6
Aham Sharma,6.5
Ahindra Choudhury,7.2
Ahmed Chaudhary,3.9
Ahran Chaudhary,5.599999999999999
Aida Folch,5.9
Aindrita Ray,4.1
Aishwarya,6.7
Aishwarya Arjun,3.8
Aishwarya Devan,5.45
Aishwarya Rai Bachchan,5.7299999999999995
Aishwarya Rajesh,6.400000000000001
Ajay Bafna,7.9
Ajay Chadha,6.3
Ajay Chourey,5.599999999999999
Ajay Devgn,4.987234042553192
Ajay Dubey,8.3
Ajay Naidu,7.0
Ajeet Goswami,5.3
Ajinkya Deo,6.5
Ajit,6.181481481481482
Ajit Banerjee,7.4
Ajit Sachdev,6.8
Akanksha D. Sharma,6.3
Akash,6.6
Akash Adhikari,7.6
Akash Bathija,4.3
Akashdeep,3.9
Akhil,5.1
Akhilendra Mishra,4.279999999999999
Akkineni Nageshwara Rao,7.1
Akshat Bhatia,4.2
Akshay Anand,4.35
Akshay Kapoor,5.8
Akshay Kaushal,8.5
Akshay Kumar,5.665591397849462
Akshay Oberoi,6.25
Akshaye Khanna,6.070588235294117
Alaya F,6.6
Alekh Sangal,6.7
Alexx O'Nell,6.3
Alfeeya Donna,8.6
Ali,4.9
Ali Asgar,3.75
Ali Fazal,4.933333333333334
Ali Haji,5.8
Ali Khan,3.1
Ali Larter,4.8
Ali Zafar,4.3
Alia Bhatt,5.7
Alisha,7.0
Alismita Goswami,5.4
Allan Border,3.8
Altaf,7.1
Alyy Khan,2.6
Amal Sherawat,2.4
Amala Akkineni,7.375
Amann Grewal,6.900000000000001
Amardeep Jha,6.8
Amaresh Banerjee,7.8
Amarjeet,4.0
Amartya Ray,6.1
Ambalika Sarkar,5.6
Ambika,6.725
Ameer Sultan,8.5
Ameesha Patel,3.761111111111111
Ameet Gaurr,5.2
Ameeta,5.9692307692307685
Ameya Hunaswadkar,6.9
Amin Gazi,5.8
Amit,3.4
Amit Ashar,6.2
Amit Behl,5.4
Amit Deondi,7.150000000000001
Amit Dhamija,3.7
Amit Ghosh,7.2
Amit Goel,7.0
Amit Pachori,5.383333333333333
Amit Purohit,6.4
Amit Sadh,6.725
Amita Nangia,4.8
Amitabh Bachchan,6.523809523809524
Amjad Khan,6.900000000000001
Amol Palekar,6.959999999999999
Amrish Puri,6.6375
Amrit Pal,6.2
Amrita Arora,3.922222222222222
Amrita Bagchi,6.900000000000001
