Actor 3,MeanRating
Anjan Srivastav,4.6
Anjana Mumtaz,6.599999999999999
Anjori Alagh,6.400000000000001
Anju Mahendru,7.2
Ankit Gajera,6.1
Ankit Raaj,4.9
Ankita,7.9
Ankita Bahuguna,9.0
Ankita Sahu,8.3
Ankita Shrivastav,7.5
Ankush Chaudhari,6.8
Anmol Khatri,5.1
Annu Kapoor,6.98
Anokhi Dalvi,5.4
Anoop Kumar,7.4
Anshu Khatri,8.4
Anshul Kataria,6.5
Anshuman Malhotra,5.7
Antara Mali,5.3
Antonia Bernath,4.5
Anu Agrawal,3.7000000000000006
Anu Choudhury,6.9
Anu Joseph,6.6
Anu Menon,5.8
Anubhav Dixit,7.8
Anubhav Mishra,7.0
Anudeep Singh,6.8
Anuj Chaudhary,5.8
Anuj Punj,4.3
Anuj Sawhney,5.199999999999999
Anuj Sen,8.1
Anup Shukla,7.2
Anupam Kher,5.520833333333333
Anupama Verma,5.1
Anupriya Goenka,5.25
Anuradha Patel,7.4
Anurag Arora,5.9
Anurag Kashyap,5.62
Anurita Jha,6.2
Anushka Sharma,6.3
Anuya Bhagwat,8.0
Anwar Ali,6.5
Anwar Hussain,6.925
Anyarit Pitakkul,5.900000000000001
Aparna Bera,3.1
Aparna Sen,7.1
Aparshakti Khurana,6.3
Apoorva Agnihotri,2.8499999999999996
Apoorva Arora,5.1
Apurva Chowdhary,6.0
Aradhana Jagota,5.7
Arav Chowdharry,7.1
Arbaaz Khan,4.956521739130435
Archana,7.175
Archana Puran Singh,4.944444444444445
Archanna Guptaa,5.8
Ardhendu Bose,6.4
Areesz Ganddi,4.3
Arif Khan,5.8
Arif Zakaria,4.066666666666666
Arjan Bajwa,5.1
Arjun,5.266666666666667
Arjun Bijlani,4.0
Arjun Chakraborty,7.7
Arjun Gokul Jaykrishna,6.4
Arjun Mathur,6.05
Arjun Radhakrishnan,6.6
Arjun Rampal,6.3428571428571425
Arjun Sarja,5.779999999999999
Armaan Ralhan,3.9
Armen Grayg,6.900000000000001
Arshad Warsi,5.245945945945945
Arslan Goni,4.4
Art Malik,4.6
Arti Gaikwad,6.1
Arti Gupta,6.285714285714286
Arun Bakshi,4.823076923076924
Arun Bali,6.766666666666667
Arun Govil,6.1499999999999995
Aruna Irani,5.754545454545455
Aruna Shields,4.2
Arundhati Roy,7.2
Arunoday Singh,7.175
Arvin Tucker,4.2
Arvind Jangid,7.0
Arya Babbar,4.925000000000001
Aryan Mishra,7.1
Aryan Preet,7.2
Aryan Vaid,3.5
Asad Aleem,4.4
Ash Chandler,5.1
Asha Bhat,5.599999999999999
Asha Bhosle,8.2
Asha Mathur,6.3
Asha Parekh,6.3
Asha Sachdev,5.55
Ashalata Wabgaonkar,7.0
Asheesh Kapur,7.099999999999999
Ashima Bhalla,6.5
Ashish Chanana,6.2
Ashish Ghosh,8.2
Ashish Kotwal,5.9
Ashish Kumar,5.833333333333333
Ashish Saleem,5.5
Ashish Verma,7.599999999999999
Ashish Vidyarthi,6.55
Ashok Kumar,5.982608695652174
Ashok Lath,4.7
Ashok Saraf,5.714285714285714
Ashok Sharma,7.7
Ashraf Ul Haq,5.8
Ashutosh Acharya,8.0
Ashutosh Gowariker,6.933333333333333
Ashutosh Kaushik,2.5
Ashutosh Rana,5.7
Ashwini Bhave,5.507142857142857
Ashwini Kalsekar,7.8
Asif Akbar,2.6
Asif Ali Beig,5.2
Asif Basra,3.6
Asin Thottumkal,4.55
Asitbaran,6.733333333333334
Aslam Khan,5.4
Asrani,5.92542372881356
Atul Agnihotri,6.325
Atul Kaushal,8.5
Atul Kulkarni,5.046666666666667
Aungchuk,7.1
Aurn Pandian,7.3
Aushima Sawhney,6.12
Avika Gor,4.7
Avinash,6.2
Avinash Bhargava,3.7
Avinash Tiwary,7.8
Avinash Wadhawan,5.599999999999999
Avneet Kaur,8.0
Avnish Pawar,5.9
Avtar Gill,4.655555555555555
Avtar Sahani,5.599999999999999
Avtar Singh Bhullar,4.8
Awdhesh Mishra,2.5
Ayesha Dharker,7.0
Ayesha Jhulka,6.2727272727272725
Ayesha Raza,5.85
Ayesha Takia,4.0
Ayub Khan,4.928571428571429
Ayush Mahesh Khedekar,4.0
Azaad Irani,6.15
Azim,6.8
Aziz Naser,5.2
Azmat Khwaja,7.1
B.L. Chopra,6.3
B.M. Shah,7.2
B.M. Vyas,5.96
B.S. Dwarakish,6.6
Babasaheb Gawde,7.9
Babita,5.9
Babita Kapoor,6.733333333333333
Babu,5.8
Babu Das,8.0
Babu Mohan,6.225
Baburaj,5.2
Baby Gayatri,6.3
Badri Prasad,7.0
Badrul Islam,6.3
Bahadur,6.400000000000001
Baiju Gopinath,5.5
Bajrangbali Singh,5.5
Bala Hijam,7.7
Baldev Khosa,5.8
Balraj Sahni,6.803703703703703
Balwant Dullat,4.0
Barun Chanda,7.3
Beena Antony,7.8
Beena Banerjee,4.21
Begum Para,6.099999999999999
Bela Bose,5.9399999999999995
Benyamin Bahadori,3.7999999999999994
Bertwin Ravi Dsouza,8.1
Bhairavi Goswami,6.4
Bhakti Barve,8.4
Bhani Singh,1.8
Bhanu Uday,5.1
Bhanupriya,7.44
Bharat Bhushan,5.85
Bharat Dabholkar,5.5
Bharat Jadhav,3.9
Bharat Kapoor,4.3
Bharathi,6.285714285714286
Bharti,5.9
Bharti Achrekar,3.7
Bhaskar Jha,6.6
Bhasker Patel,5.6
Bhavana Balsawar,5.9
Bhavin Bhanushali,6.2
Bhavna Pani,6.5
Bhisham Kohli,6.3
Bhoomika Chawla,4.6571428571428575
Bhumi Pednekar,7.2
Bhumika Puri,4.6
Bhupindder Bhoopii,4.8
Bhushan Insan,6.7
Bhushan Jeevan,7.3
Bhuvan Arora,7.0
Bhuvnesh Mann,5.3
Bibbo,6.4
Bidita Bag,7.0
Bijay Anand,6.7
Biju Menon,5.3
Bill 'Blade' Howell,8.1
Bill Clinton,7.7
Bill Nighy,6.599999999999999
Billa,3.3
Bilqis,5.900000000000001
Biman Bannerjee,7.3
Bina Rai,7.400000000000001
Bindiya Goswami,6.43
Bindu,5.9526315789473685
Binita Gupta,6.4
Binnu Dhillon,5.8999999999999995
Bipasha Basu,5.6571428571428575
Bipin Gupta,6.8999999999999995
Biplab Chatterjee,5.1
